center_id,num_orders
10,481.96977904490376
11,411.30716071166006
13,609.7849843883055
14,197.83280913756002
17,192.37628296226117
20,199.23729575775747
23,250.21852657755673
24,381.7188992929486
26,175.81297935103245
27,335.28352546330075
29,204.41062890768666
30,271.85223522352237
32,208.94538448651366
34,200.08435166327223
36,293.2777449822904
39,223.727357262414
41,121.8070046534411
42,175.96886760177898
43,562.4525107604018
50,238.61206457094306
51,326.9140988372093
52,446.994851994852
53,175.27730192719486
55,163.47570928876797
57,170.631637413908
58,191.82779456193353
59,288.4486301369863
61,207.51187019641333
64,180.1087074094105
65,307.6820208023774
66,274.1775041050903
67,410.62805495300074
68,193.16703222540914
72,251.72552783109404
73,193.22254335260115
74,131.2773556231003
75,291.05958158995816
76,191.62797179865552
77,160.86095238095237
80,269.1056910569106
81,193.37956204379563
83,269.1168015859904
86,287.8236584542693
88,182.1663694721826
89,293.6474798687742
91,123.88111888111888
92,190.7073429541596
93,200.96546937359014
94,177.447656840514
97,306.4394116663881
99,334.22564754489116
101,245.58830200907323
102,190.03482486333266
104,363.0240765664723
106,236.07611548556432
108,330.85518047639925
109,263.59085133418046
110,254.0346638655462
113,246.33556423126976
124,251.8155467720685
126,291.59680701205195
129,189.84160272804775
132,301.53108426635237
137,452.2016246011024
139,160.61119515885022
143,180.2522734927585
145,255.98307745987438
146,309.3015898767034
149,126.97211710814578
152,206.4089527027027
153,229.42682198327358
157,238.82013633980074
161,145.5818279377571
162,155.80737517178196
174,405.2513423305761
177,192.82043051359517
186,153.21671490593343
