feature,window,pct_nonzero_mean,pct_nonzero_sum,pct_unique_mean,pct_unique_sum
emailer_for_promotion,2,13.378001874939766,13.378001874939766,0.0006571050579566661,0.0006571050579566661
emailer_for_promotion,3,18.315489280426153,18.315489280426153,0.0010951750965944435,0.0008761400772755547
emailer_for_promotion,5,26.89728133734021,26.89728133734021,0.0024093852125077757,0.0013142101159133322
emailer_for_promotion,7,33.87507994778205,33.87507994778205,0.0039426303477399964,0.0015332451352322207
emailer_for_promotion,10,42.193810946494125,42.193810946494125,0.005475875482972218,0.0017522801545511095
homepage_featured,2,15.540534620675153,15.540534620675153,0.0006571050579566661,0.0006571050579566661
homepage_featured,3,19.542523458650567,19.542523458650567,0.0010951750965944435,0.0008761400772755547
homepage_featured,5,26.463591999088816,26.463591999088816,0.0024093852125077757,0.0013142101159133322
homepage_featured,7,32.104181816588834,32.104181816588834,0.004161665367058885,0.0017522801545511095
homepage_featured,10,39.050220349229434,39.050220349229434,0.0072281556375233275,0.0024093852125077757
num_orders,2,100.0,100.0,0.6290685754838483,0.6288495404645295
num_orders,3,100.0,100.0,1.133944295013887,1.0384450265908514
num_orders,5,100.0,100.0,2.308629103621087,1.883701166142443
num_orders,7,100.0,100.0,3.5409201223091546,2.6520760139131045
num_orders,10,100.0,100.0,5.066499031865215,3.611230363510518
checkout_price,2,100.0,100.0,4.0241113749266235,4.049519437167614
checkout_price,3,100.0,100.0,5.6962247124070196,6.246878750974705
checkout_price,5,100.0,100.0,10.182938048135135,10.328815371001514
checkout_price,7,100.0,100.0,15.728028597212123,15.400133173291747
checkout_price,10,100.0,100.0,23.10162348756319,22.98553492732418
discount_pct,2,91.95966251084224,91.95966251084224,37.94978841217134,37.909266933597344
discount_pct,3,97.06909240649395,97.06909240649395,56.308865661441956,56.50928270411873
discount_pct,5,99.39677755679578,99.39677755679578,74.70715017917064,74.3435520471013
discount_pct,7,99.67144747102166,99.67144747102166,82.43229627552853,81.45518105434697
discount_pct,10,99.72533008577412,99.72533008577412,87.20682162664167,85.67554780658332
