center_id,meal_id,forecast_week,num_orders
10,1062,146,929.7552347979471
10,1109,146,1498.3212159443046
10,1198,146,407.31682195732435
10,1207,146,51.74501955895634
10,1216,146,170.2483146802286
10,1230,146,65.8753907570928
10,1247,146,29.529242520871126
10,1248,146,247.43642519398364
10,1311,146,937.8864230295221
10,1438,146,108.25938717151628
10,1445,146,75.83180348871362
10,1525,146,494.1292404346607
10,1543,146,328.2757329128889
10,1558,146,125.41700502160334
10,1571,146,181.06508215779792
10,1727,146,809.1816498182073
10,1754,146,986.5710042423276
10,1770,146,120.91897336826695
10,1778,146,876.3860460267827
10,1803,146,402.8796475778714
10,1847,146,74.01974551874899
10,1878,146,72.17948958165636
10,1885,146,1564.5574643620098
10,1902,146,53.364425993800126
10,1962,146,552.4247839707236
10,1971,146,258.1181039088164
10,1993,146,192.46987914558693
10,2104,146,120.1217913659238
10,2126,146,135.32576630549613
10,2139,146,171.43433127369516
10,2290,146,1748.9888840772082
10,2304,146,173.46357651986204
10,2306,146,611.7013553629167
10,2322,146,279.90435810239165
10,2444,146,16.785898208349685
10,2490,146,251.6094990217683
10,2492,146,196.06283620882675
10,2494,146,191.7281929141897
10,2539,146,374.95831522071484
10,2569,146,1113.398575661367
10,2577,146,248.65210839933565
10,2581,146,226.8312418730197
10,2631,146,338.07883044561635
10,2640,146,112.49370788479706
10,2664,146,1011.4661423195687
10,2704,146,363.9080050029991
10,2707,146,1259.5579973622475
10,2760,146,1282.0890334776045
10,2826,146,630.568080846576
10,2867,146,26.70870548439253
10,2956,146,115.52182877876493
11,1062,146,716.0082359938864
11,1109,146,1066.4502378725942
11,1198,146,313.72816869841523
11,1207,146,189.6452571732824
11,1216,146,87.96657380466807
11,1230,146,133.78076898124723
11,1247,146,29.529242520871126
11,1248,146,82.99230895154703
11,1311,146,376.69956521564245
11,1438,146,216.7563936319605
11,1445,146,29.256548627439866
11,1525,146,238.24920457182435
11,1543,146,104.68618953717298
11,1558,146,122.15960067528117
11,1571,146,46.353636120069666
11,1727,146,531.6229675555036
11,1754,146,797.3363167032745
11,1770,146,65.4795243364632
11,1778,146,753.9014575538687
11,1803,146,625.4597716076177
11,1847,146,125.25432245661663
11,1878,146,99.94131819348377
11,1885,146,1619.980038916193
11,1902,146,31.873923972982283
11,1962,146,221.93238815663344
11,1971,146,176.17601666255504
11,1993,146,201.7492513638338
11,2126,146,35.26876011515998
11,2139,146,128.46394181462017
11,2290,146,560.1538813306391
11,2304,146,73.05684800508003
11,2306,146,203.1351960690068
11,2322,146,229.4524517455646
11,2444,146,17.247769990388605
11,2490,146,272.07669822599405
11,2492,146,63.19241249687546
11,2494,146,189.5142525118468
11,2539,146,443.1867527337064
11,2569,146,550.1748409469013
11,2577,146,38.11320533419184
11,2581,146,163.98247731429538
11,2631,146,72.72172971036976
11,2640,146,70.88322467477451
11,2664,146,569.4229019341869
11,2704,146,166.75745854652308
11,2707,146,1154.7677879416228
11,2760,146,479.3210007621818
11,2826,146,429.9031707927251
11,2867,146,33.87934081827897
11,2956,146,67.89881321649696
13,1062,146,801.4741043915407
13,1109,146,1962.4610000464568
13,1198,146,446.3435845571391
13,1207,146,40.83692044708015
13,1216,146,145.17837761063143
13,1230,146,111.05580572812018
13,1247,146,50.031955975274116
13,1248,146,96.13983207500196
13,1311,146,492.6478007654448
13,1438,146,235.35931057882152
13,1445,146,22.316600990610432
13,1525,146,589.953670608689
13,1543,146,250.38101800306967
13,1558,146,152.620998968972
13,1571,146,189.8183323903917
13,1727,146,1112.8979671084337
13,1754,146,1360.0499569194403
13,1770,146,92.23196333221493
13,1778,146,897.0066766152399
13,1803,146,531.5516906323973
13,1847,146,147.23684988367165
13,1878,146,236.39735354624437
13,1885,146,2571.9769241612184
13,1902,146,92.95541077099098
13,1962,146,717.7136191480719
13,1971,146,504.99143129520706
13,1993,146,793.5410502073036
13,2104,146,116.76289324317551
13,2126,146,150.94087014163728
13,2139,146,72.63304007426477
13,2290,146,1600.4288115471559
13,2304,146,135.9470716118269
13,2306,146,662.4130649907569
13,2322,146,259.0431368454636
13,2444,146,104.15599452239984
13,2490,146,410.999396995619
13,2492,146,121.73530361828072
13,2494,146,236.62746493300418
13,2539,146,618.3778649723937
13,2569,146,846.2751445253916
13,2577,146,409.41851894348696
13,2581,146,184.0410552577495
13,2631,146,213.73696485877082
13,2640,146,205.2003558381094
13,2664,146,811.757677540691
13,2704,146,504.3603162054203
13,2707,146,1902.830405641931
13,2760,146,3099.2702992611685
13,2826,146,1148.7193040019195
13,2867,146,33.41746903624005
13,2956,146,263.6632194230449
14,1062,146,235.0139836501509
14,1109,146,418.60469914132483
14,1198,146,137.53667038942555
14,1207,146,101.98345549073944
14,1216,146,33.882323862798636
14,1230,146,196.06373396972268
14,1247,146,27.97446716971891
14,1248,146,52.111956116417126
14,1311,146,18.36275740053543
14,1438,146,93.48282692371295
14,1445,146,9.923208549289061
14,1525,146,95.35271363170284
14,1543,146,70.8374645120921
14,1558,146,34.535959480338164
14,1571,146,26.19778070649692
14,1727,146,241.14851799761968
14,1754,146,308.0265209697942
14,1770,146,25.38552664780005
14,1778,146,277.10903507709435
14,1803,146,159.58664213354757
14,1847,146,53.26679221757409
14,1878,146,45.535384299133625
14,1885,146,683.3258182120495
14,1902,146,27.02279541095855
14,1962,146,35.93030755243514
14,1971,146,75.97382411133685
14,1993,146,216.50744792262728
14,2126,146,46.71144622219147
14,2139,146,53.08671702861911
14,2290,146,197.2015445222547
14,2304,146,24.198863515050054
14,2306,146,79.63435719794835
14,2322,146,210.80270523546463
14,2444,146,556.5879505560258
14,2490,146,174.07298564005535
14,2492,146,25.836132278208556
14,2494,146,55.51537790255071
14,2539,146,240.97246764197948
14,2569,146,398.2952403182689
14,2577,146,43.19626643159323
14,2581,146,96.6317531981965
14,2631,146,31.053910224627675
14,2640,146,43.19626643159323
14,2664,146,242.83124285515896
14,2704,146,69.74870488343109
14,2707,146,532.4552667296889
14,2760,146,531.1899373470725
14,2826,146,346.99623673033375
14,2867,146,261.6955350129141
17,1062,146,274.8352722208954
17,1109,146,336.94473922860686
17,1198,146,165.83030881448687
17,1207,146,67.9323530105868
17,1216,146,25.709693735572213
17,1230,146,68.20997763654181
17,1247,146,38.2744902905868
17,1248,146,42.93544921704018
17,1311,146,400.1326065979594
17,1438,146,76.10811909448803
17,1445,146,9.923208549289061
17,1525,146,125.00925511495677
17,1543,146,70.8374645120921
17,1558,146,35.07026478557811
17,1571,146,25.735908924458002
17,1727,146,253.89817766946146
17,1754,146,114.25767266531079
17,1770,146,37.76750501336119
17,1778,146,233.16455440575143
17,1803,146,186.0620054414218
17,1847,146,58.38021546894748
17,1878,146,32.08549189299322
17,1885,146,425.37358116954505
17,1902,146,22.738823392145605
17,1962,146,110.3533686820541
17,1971,146,120.42509501876759
17,1993,146,199.76093852435912
17,2126,146,72.03417648281908
17,2139,146,51.880086773089886
17,2290,146,260.2321199644648
17,2304,146,69.79014719784847
17,2306,146,79.08899124259672
17,2322,146,241.62202244929168
17,2444,146,8.98208632345281
17,2490,146,67.40984705931481
17,2492,146,45.70902579559047
17,2494,146,29.344578632027186
17,2539,146,187.03156260993643
17,2569,146,219.34513196068133
17,2577,146,43.73057173683318
17,2581,146,97.34752169513406
17,2631,146,85.30858998735185
17,2640,146,31.355718402155734
17,2664,146,428.8348698723013
17,2704,146,67.61652386754292
17,2707,146,470.428719206928
17,2760,146,314.762715067751
17,2826,146,183.79254977640713
17,2867,146,121.98976808916949
20,1062,146,309.51225702771865
20,1109,146,538.4589578599464
20,1198,146,118.65661554417692
20,1207,146,56.075661992934435
20,1216,146,18.343540099591106
20,1230,146,111.75567908752895
20,1247,146,50.65283086294241
20,1248,146,29.781727366395355
20,1311,146,137.99428097500657
20,1438,146,107.8349494953617
20,1445,146,10.993180472596132
20,1525,146,143.69860214818917
20,1543,146,75.04543191691776
20,1558,146,60.93122068619354
20,1571,146,33.61607155508006
20,1727,146,164.46558708064848
20,1754,146,349.4853223986658
20,1770,146,25.366309346855726
20,1778,146,271.5841916308936
20,1803,146,119.4025093656404
20,1847,146,67.46426081068317
20,1878,146,96.81003395320096
20,1885,146,778.4625988970103
