weekofyear,num_orders
0,283.671546488086
1,294.94781322628353
2,255.23818162415964
3,252.11587063611051
4,270.813130765057
5,342.55584247901874
6,288.163555939152
7,285.2058920162085
8,289.90540688148553
9,264.3835792174471
10,221.62570449773455
11,256.90915932057624
12,250.40103159252095
13,247.09613945032618
14,228.592899408284
15,238.83247256294382
16,254.59378349410503
17,301.8639159949088
18,300.7948022127127
19,283.1000841042893
20,237.56683299713345
21,229.37269059248248
22,258.855927698033
23,264.7901130241893
24,257.437566249735
25,256.7327549724926
26,273.03798269677145
27,277.500314795383
28,238.65344467640918
29,224.24209755076407
30,285.02777777777777
31,256.18606830487295
32,269.6446168361463
33,241.19275725318306
34,228.88317267393126
35,229.56585161087207
36,236.178634521459
37,252.50995260663507
38,269.3660048324404
39,245.71857469353833
40,262.080920641533
41,245.84865820678178
42,248.79909318323953
43,250.52671157762808
44,235.35764595398342
45,250.14557459518943
46,276.7671340790925
47,247.2200605963961
48,371.42708495107934
49,301.7651550568802
50,283.1337994597171
51,234.43293080939947
