month,num_orders
1,260.0496295019817
2,332.3838383838384
3,262.78180064872447
4,224.51405234498506
5,274.7267992828481
6,251.16485753052916
7,244.15498797578573
8,274.34270075974183
9,229.87364591085753
10,283.56273764258555
11,240.75020132066356
12,320.2351845854922
13,286.9361142127931
14,284.7301978231509
15,290.3599143061176
16,228.1999034671386
17,258.78190743338007
18,295.26525260316237
19,260.9673592805086
20,264.17616419186817
21,248.47437287085785
22,248.54230384999616
23,255.89897207732434
24,259.32788637751986
25,255.1819990815858
26,265.59570788460024
27,260.02720315223155
28,285.6721450617284
29,255.38837015106657
30,241.6024521072797
31,272.3864424671995
32,245.7045419671628
33,274.6613050769935
34,254.57870791628753
35,223.33032189492863
36,234.74397314617028
37,205.6077111383109
