id,num_orders
1177098,108
1486011,108
1301735,108
1273097,65
1450902,108
1158165,108
1077876,117
1479002,87
1281555,85
1220629,0
1287288,184
1149272,184
1430093,184
1157251,142
1364131,191
1227970,215
1411427,169
1033512,151
1249878,152
1449349,73
1386036,87
1177651,87
1261268,87
1316488,84
1297387,85
1240915,80
1140431,110
1013079,110
1361178,110
1097810,67
1391435,60
1099528,60
1117969,60
1054117,58
1103779,60
1285350,60
1367217,86
1416683,86
1118412,83
1293675,46
1330467,43
1189762,43
1408479,43
1375495,40
1361615,40
1498846,46
1145843,41
1310857,40
1315483,35
1074295,33
1279057,62
1092985,59
1259030,62
1326687,60
1373522,62
1157350,62
1250173,85
1152295,87
1348202,84
1284570,47
1158868,36
1047566,36
1209129,35
1004886,36
1195396,41
1271245,34
1093884,29
1259014,29
1399101,46
1437934,42
1416330,45
1302476,44
1146657,45
1057285,45
1349227,54
1368165,41
1422379,39
1086047,37
1002589,170
1017711,170
1211204,170
1345688,150
1210501,170
1084025,170
1239272,195
1022695,195
1011110,193
1005560,152
1225988,51
1366211,51
1324708,51
1184103,50
1310794,51
1388767,51
1272864,76
1133154,76
1344662,73
1038802,36
1467437,95
1329046,95
1057669,115
1331479,93
1232705,89
1401490,95
1196960,107
1119175,97
1149199,92
1297151,92
1408811,58
1237636,58
1008635,58
1481250,55
1481724,84
1458403,77
1438049,70
1197105,49
1181471,50
1352308,46
1399262,47
1398440,45
1472243,58
1342553,43
1303872,47
1374742,42
1160087,50
1449481,43
1409784,38
1181977,36
1236099,41
1088551,41
1438339,41
1374498,41
1173658,41
1008292,53
1045869,47
1284400,43
1228589,34
1136450,29
1192132,117
1277023,117
1226033,117
1383481,112
1345596,117
1346637,117
1099736,131
1070940,121
1283616,107
1412687,107
1078901,166
1229539,166
1340614,166
1428262,133
1018915,166
1038769,166
1103105,188
1360988,166
1298022,158
1492789,141
1051818,106
1147532,122
1246221,101
1000164,81
1315204,106
1268614,106
1303680,203
1399880,151
1494417,97
1272597,80
1418909,34
1396660,34
1175187,34
1317753,34
1034244,29
1040435,34
1349623,39
1431405,32
1179430,27
1176893,28
1449984,99
1292983,99
1115570,99
1200857,61
1344262,99
1203477,99
1187267,98
1044893,78
1220430,75
1320834,34
1198931,96
1430253,89
1196393,93
1480687,90
1097181,96
1499604,96
1408309,121
1053367,121
1066051,115
1073193,84
1161079,46
1134692,46
1444677,46
1417557,45
1292994,46
1461469,46
1382786,62
1259677,59
1148205,57
1325721,37
1179236,63
1447264,63
1007165,63
1094157,61
1037639,63
1043566,65
1071289,85
1230721,88
1281633,85
1381624,45
1134786,199
1052017,199
1209585,199
1115016,152
1101235,199
1448019,199
1315737,222
1039269,222
1436545,219
1445418,146
1252654,36
1067370,36
1415662,36
1423314,35
1367043,36
1234416,36
1368612,41
1175687,34
1126635,29
1215026,29
1307333,139
1077544,139
1461548,139
1155304,105
1076344,120
1479849,126
1337089,141
1436130,136
1097496,131
1095473,121
1397206,84
1132317,98
1249794,78
1235645,63
1267815,84
1024354,84
1106620,181
1277874,127
1128160,67
1088442,39
1008071,117
1351714,117
1278748,117
1033118,76
1432496,117
1231141,117
1026727,143
1077204,143
1438728,140
1424161,65
1232750,45
1240251,45
1324350,45
1315410,42
1492833,45
1136861,45
1295531,54
1280308,47
1167103,32
1389109,36
1355488,45
1216663,45
1363746,45
1128710,40
1042523,45
1110118,45
1290610,49
1145669,42
1286261,37
1325159,35
1011543,42
1058360,42
1007123,42
1412939,45
1014783,42
1113754,46
1273175,51
1248159,43
1457927,37
1115454,33
1214752,189
1058556,189
1353953,189
1408738,148
1483186,181
1052629,250
1466020,204
1051717,175
1431922,172
1216601,110
1238090,42
1214968,39
1079476,42
1165310,36
1176334,53
1012940,36
1250538,46
1199727,39
1467998,34
1007279,38
1061973,43
1281392,46
1023051,59
1158061,31
1142648,39
1404159,42
1348850,47
1379341,40
1403602,27
1229591,32
1009044,70
1066687,70
1167748,70
1075832,68
1151308,70
1262900,70
1080258,96
1497570,96
1316773,93
1173901,55
1020490,33
1054376,33
1066575,58
1428927,46
1195774,27
1482761,33
1359976,56
1054274,43
1197821,41
1048829,31
1273910,99
1238143,99
1474729,99
1350239,78
1440237,99
1105342,99
1001956,115
1114835,99
1115501,90
1184958,54
1155995,39
1040659,39
1311681,39
1433355,38
1271815,39
1242344,39
1200743,44
1436480,37
1279838,32
1251356,33
1076920,53
1489348,53
1249911,53
1429083,52
1014635,53
1274715,53
1084623,58
1486084,51
1007567,46
1005224,40
1018869,155
1079368,155
1093376,155
1041123,136
1430566,155
1040612,155
1392552,181
1281620,181
1005866,178
1037632,133
1386889,98
1173359,93
1367247,96
1482433,70
1257584,96
1114301,105
1421477,112
1010322,95
1366678,85
1190900,63
1268984,122
1082662,122
1341057,122
1198596,121
1360054,122
1316119,120
1182553,124
1312899,120
1279295,115
1179644,106
1195643,115
1400933,115
1006845,115
1244972,111
1211835,97
1245361,98
1205492,124
1459875,115
1369352,107
1279631,108
1197470,48
1364127,45
1473365,48
1413843,59
1116354,48
1185582,48
1359183,61
1259615,46
1175328,44
1017133,31
1073550,131
1052320,131
1218304,131
1403013,129
1213321,131
1059546,131
1037013,156
1030517,156
1413036,153
1010010,114
1446578,110
1465365,110
1026935,110
1117406,66
1304553,107
1221568,109
1385364,130
1387510,106
1020597,101
1419393,73
1003760,120
1207260,120
1110869,120
1146477,118
1207346,141
1408082,131
1376120,141
1407386,129
1497500,136
1194367,109
1272083,191
1099221,191
1406384,191
1360566,142
1050703,191
1419040,191
1255087,210
1169109,175
1231535,170
1475079,73
1121637,133
1286192,127
1076099,133
1135164,131
1243831,133
1247648,133
1080752,158
1006812,158
1205020,155
1281256,120
1185139,169
1297480,169
1051229,169
1012762,131
1005712,169
1290480,169
1107751,188
1448045,156
1320697,148
1343551,132
1465107,30
1041761,30
1359065,50
1083748,43
1174518,24
1309393,30
1173584,44
1362180,34
1402804,29
1379904,27
1234402,62
1232348,62
1186038,62
1228924,51
1420063,62
1224017,62
1456472,74
1387675,65
1043351,49
1426735,45
1190633,108
1234168,108
1187850,108
1461408,65
1324628,108
1043320,108
1112006,116
1431890,86
1142113,84
1473136,0
1129467,171
1440344,171
1199647,171
1329067,130
1310720,223
1187699,242
1490972,154
1188019,139
1393545,143
1196202,62
1289523,83
1306275,83
1123768,83
1495866,82
1251443,83
1112488,79
1248124,105
1361909,107
1484093,104
1137757,59
1049366,58
1442356,58
1344308,58
1057310,56
1450163,58
1249769,58
1328737,84
1358230,84
1245395,81
1227902,44
1141892,40
1023603,40
1009205,40
1401622,37
1056837,84
1399479,45
1380035,38
1187248,37
1052075,32
1190890,31
1224120,60
1083028,60
1435741,59
1227990,57
1102401,60
1494941,60
1405194,85
1160706,85
1389486,82
1475674,48
1117711,33
1268268,33
1084245,32
1436228,33
1044490,44
1119951,40
1148469,42
1040533,42
1182305,42
1058670,42
1069033,52
1052272,39
1102729,36
1439572,34
1091114,157
1066926,156
1042657,158
1126990,137
1135737,157
1264507,158
1220181,182
1483607,180
1465019,179
1142488,139
1103283,55
1398797,49
1198936,49
1206071,48
1148030,49
1293650,49
1200910,74
1285518,74
1080615,71
1254886,42
1083754,91
1462240,125
1135487,150
1018722,85
1172707,103
1162264,89
1086936,49
1207218,49
1040287,49
1430895,46
1029036,54
1338150,68
1352621,72
1068287,40
1032470,41
1455331,37
1244516,46
1327333,63
1077866,56
1157697,56
1359546,44
1083789,40
1186701,48
1307736,41
1169772,36
1423832,34
1052776,39
1017418,39
1084980,39
1049695,38
1152112,55
1073128,38
1400065,45
1078686,41
1442361,32
1438146,27
1229328,108
1154798,108
1258593,108
1214967,103
1415050,108
1249408,108
1217205,122
1403443,98
1323989,157
1063221,157
1375428,157
1171835,123
1175458,157
1022677,157
1064513,179
1141542,157
1254313,149
1429469,132
1140772,97
1473886,118
1040538,94
1300105,72
1254975,100
1468203,100
1147088,245
1225845,178
1449493,86
1168141,71
1472121,32
1486257,32
1290578,32
1323798,31
1176875,26
1329642,37
1060343,25
1217405,25
1290002,99
1480585,99
1132573,99
1057544,61
1185226,99
1332114,99
1006557,97
1223406,77
1165398,74
1252122,33
1043572,89
1120725,88
1493836,89
1382069,83
1262029,89
1436339,89
1171914,110
1222059,113
1179976,110
1312713,73
1168741,44
1108197,44
1322681,44
1446803,44
1460737,44
1378544,50
1223144,59
1415427,57
1238698,54
1273113,44
1024905,57
1161371,57
1335725,57
1185623,54
1495661,57
1059370,57
1485382,82
1136555,82
1113434,79
1476173,40
1098228,194
1080847,194
1064602,194
1093227,147
1177861,194
1259611,194
1274836,213
1030333,213
1249982,210
1188591,137
1387134,33
1055877,33
1308549,33
1205716,32
1471019,33
1245854,33
1453386,26
1234023,27
1302153,132
1246959,132
1433203,132
1339909,98
1161885,109
1437209,115
1357587,134
1418362,128
1118797,124
1109876,114
1103484,78
1179187,106
1262515,72
1050801,57
1209593,78
1129604,78
1471717,217
1147030,151
1374174,64
1347061,33
1101375,114
1398435,114
1353965,114
1183936,72
1311911,114
1062494,114
1410039,138
1187463,138
1082477,135
1345516,61
1302404,42
1319320,39
1363194,42
1150515,39
1465309,42
1373073,46
1164383,34
1302775,32
1439889,40
1043720,40
1065834,41
1272505,43
1356980,42
1028730,47
1124574,38
1369044,35
1157352,34
1197335,180
1098456,180
1004231,180
1348678,139
1069114,190
1120606,256
1116595,204
1124659,175
1403491,181
1124415,103
1380381,39
1110397,59
1051554,52
1158465,53
1120697,38
1080382,34
1288728,43
1023715,36
1010857,31
1432432,29
1343027,39
1048501,43
1154647,42
1019399,38
1272535,40
1321418,44
1473948,38
1083699,24
1258695,29
1293810,68
1321966,68
1376274,68
1453454,66
1341931,68
1133750,68
1452164,93
1142445,94
1334127,91
1074156,54
1097952,30
1438615,30
1068496,53
1000100,100
1134437,25
1292242,53
1413791,41
1490069,38
1314145,28
1019214,88
1340547,88
1367086,88
1188841,71
1344109,85
1378136,90
1393759,101
1352569,87
1480595,79
1349200,42
1236400,36
1153639,36
1004909,36
1347302,41
1448703,34
1291242,29
1224254,30
1265051,51
1303545,51
1241905,51
1156187,56
1164364,51
1368515,51
1371309,55
1270509,48
1023956,49
1175778,38
1400016,145
1371135,145
1386866,145
1263387,126
1316202,145
1238695,145
1269164,169
1212464,169
1458850,167
1164926,121
1439647,97
1321232,97
1055592,104
1241427,77
1072422,101
1381948,94
1459193,122
1107012,91
1484291,86
1189072,69
1217722,116
1024786,116
1164714,116
1487084,115
1194216,116
1333009,116
1400194,109
1220768,99
1206564,110
